city,date,high_temp_faren,low_temp_faren,wind_mph,humidity_percent,precipitation_chance_percent,precipitation_amount_inches
Moab,"Sun, Nov 1",66,35,4,17,3,
Moab,"Mon, Nov 2",65,36,5,22,5,
Moab,"Tue, Nov 3",65,38,5,29,5,
Moab,"Wed, Nov 4",66,38,2,34,6,
Moab,"Thu, Nov 5",66,39,4,34,6,
Moab,"Fri, Nov 6",62,39,4,28,3,
Provo,"Fri, Oct 23",52,28,5,24,0,
Provo,"Sat, Oct 24",66,36,13,25,6,
Provo,"Sun, Oct 25",47,27,13,46,57,0.04
Provo,"Mon, Oct 26",34,17,5,41,2,
Provo,"Tue, Oct 27",46,22,8,38,1,
Provo,"Wed, Oct 28",53,29,5,35,3,
Provo,"Thu, Oct 29",61,42,2,22,3,
Provo,"Fri, Oct 30",62,42,2,24,3,
Provo,"Sat, Oct 31",60,45,2,27,4,
Provo,"Sun, Nov 1",57,42,2,32,4,
Provo,"Mon, Nov 2",58,43,5,33,5,
Provo,"Tue, Nov 3",60,43,5,36,3,
Provo,"Wed, Nov 4",59,43,2,39,43,0.0
Provo,"Thu, Nov 5",60,44,2,44,52,0.02
Provo,"Fri, Nov 6",59,43,2,32,3,
